Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Brooklyn,BEVERLY ROAD,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,6,0,0,0,6
Brooklyn,BOROUGH HALL,"2,3,4,5",2,3,4,5,NA,NA,NA,2018,1,0,5,49,23,4,16,97
Brooklyn,BOTANIC GARDEN,S,S,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,1,3
Brooklyn,BRIGHTON BEACH,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,2,5,12,5,39,63
Brooklyn,BROADWAY,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,BROADWAY-EAST NEW YORK,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,3,1,0,0,4
Brooklyn,BROADWAY-EASTERN PKWY,"J,L,Z",J,L,Z,NA,NA,NA,NA,2018,1,0,0,0,2,0,0,2
Brooklyn,BUSHWICK AVE.-ABERDEEN ST.,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Brooklyn,CARROLL STREET,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,2,4,2,2,10
Brooklyn,CHURCH AVENUE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,20,2,0,0,22
Brooklyn,CHURCH AVENUE,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,1,0,12,5,1,0,19
Brooklyn,CHURCH AVENUE,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,1,2
Brooklyn,CLINTON-WASHINGTON AVENUES,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,8,4,1,12,25
Brooklyn,CLINTON-WASHINGTON AVENUES,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,2,0,2,7
Brooklyn,CORTELYOU ROAD,Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Brooklyn,CRESCENT STREET,"J,Z",J,Z,NA,NA,NA,NA,NA,2018,1,0,0,0,2,0,0,2
Brooklyn,DEKALB AVENUE,"B,Q,R",B,Q,R,NA,NA,NA,NA,2018,1,0,15,14,12,5,11,57
Brooklyn,DEKALB AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,7,1,5,14
Brooklyn,DITMAS AVENUE,F,F,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,1,0,2
Brooklyn,EAST 105 STREET,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Brooklyn,EASTERN PKWY-BROOKLYN MUSEUM,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,5,0,0,1,6
Brooklyn,EUCLID AVENUE,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,1,3,2,0,6
Brooklyn,FLATBUSH AVE.-BROOKLYN COLLEGE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,39,6,1,4,50
Brooklyn,FLUSHING AVENUE,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,2,0,2,8
Brooklyn,FLUSHING AVENUE,"J,M",J,M,NA,NA,NA,NA,NA,2018,1,0,2,10,4,0,15,31
Brooklyn,FORT HAMILTON PKWY,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,3,0,5,2,6,16
