Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Manhattan,59 ST.-COLUMBUS CIRCLE,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,11,0,0,18
Manhattan,59 ST.-COLUMBUS CIRCLE,"A,B,C,D",A,B,C,D,NA,NA,NA,2018,1,0,0,7,3,0,3,13
Manhattan,59 STREET,"4,5,6",4,5,6,NA,NA,NA,NA,2018,1,0,0,10,7,0,2,19
Manhattan,6 AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,1,0,0,3
Manhattan,66 ST.-LINCOLN CENTER,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Manhattan,72 STREET,"1,2,3",1,2,3,NA,NA,NA,NA,2018,1,0,0,3,1,0,0,4
Manhattan,77 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,1,0,0,1,0,0,2
Manhattan,79 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,2,0,0,4
Manhattan,8 AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,4,0,0,7
Manhattan,86 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,2,0,0,7
Manhattan,86 STREET,"4,5,6",4,5,6,NA,NA,NA,NA,2018,1,0,0,20,8,1,4,33
Manhattan,96 STREET,"1,2,3",1,2,3,NA,NA,NA,NA,2018,1,0,0,3,2,0,2,7
Manhattan,96 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,9,0,0,16
Manhattan,96 STREET,"B,C",B,C,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,BLEECKER STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,12,0,0,19
Manhattan,BOWLING GREEN,"4,5",4,5,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,BROADWAY/LAFAYETTE,"B,D,F,M",B,D,F,M,NA,NA,NA,2018,1,0,0,0,0,0,2,2
Manhattan,BROADWAY/NASSAU,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
